OEMNumber,ProductType,ReferenceNumber,Xerox - SourceWell Eligible Customers,Xerox - SIP Program for Authorized DTP Partners,Xerox - 2024A4GrowthPricing,Xerox - Multiple Dealers / NASPO Eligible Dealers Only,Xerox - Allied Business Solutions / Church of Jesus Christ Of Latter Day Saints - A3,Xerox - Allied Business Solutions / Church of Jesus Christ Of Latter Day Saints - A4,Xerox - Allied Business Solutions / Church of Jesus Christ Of Latter Day Saints - LP,Xerox - SIP Lexmark Program,Xerox - Lexmark CX963/XSE Demo Offering for All AOM Authorized Partners,Xerox - AOM HW Level 7 IR,Xerox - AOM Light Production HW - Level 7
"","","","SME-202209-128567","SME-202302-130036","SME-202404-134158","SME-202508-137685","SME-202601-139216","SME-202601-139216","SME-202601-139216","SME-202604-139737","SME-202605-140126","Xerox - AOM HW Level 7 IR","Xerox - AOM HW Level 7 IR"
"001R00610","OEM Color Laser Maintenance","914791","","138.19","","","","","","","","",""
"001R00613","OEM Mono Laser Maintenance","915431","","24.78","","","","","","","","",""
"001R00623","OEM Color Laser Maintenance","1161994","","33.49","","","","","","","","",""
"006R01159","OEM Toner","800631","","89.09","","","","","","","","",""
"006R01395","OEM Toner","25621","","99.37","","","","","","","","",""
"006R01396","OEM Toner","25622","","138.13","","","","","","","","",""
"006R01458","OEM Toner","100963","","100.19","","","","","","","","",""
"006R01459","OEM Toner","100964","","105.78","","","","","","","","",""
"006R01513","OEM Toner","100951","","57.93","","","","","","","","",""
"006R01514","OEM Toner","100952","","88.81","","","","","","","","",""
"006R01515","OEM Toner","100953","","88.81","","","","","","","","",""
"006R01516","OEM Toner","100954","","88.81","","","","","","","","",""
"006R01525","OEM Toner","916440","","55.72","","","","","","","","",""
"006R01526","OEM Toner","916441","","136.88","","","","","","","","",""
"006R01527","OEM Toner","916442","","136.88","","","","","","","","",""
"006R01528","OEM Toner","916443","","136.88","","","","","","","","",""
"006R01561","OEM Toner","919311","","62.72","","","","","","","","",""
"006R01605","OEM Toner","930301","","66.34","","","","","","","","",""
"006R01655","OEM Toner","938081","","50.28","","","","","","","","",""
"006R01656","OEM Toner","938082","","123.69","","","","","","","","",""
"006R01657","OEM Toner","938083","","123.69","","","","","","","","",""
"006R01658","OEM Toner","938084","","123.69","","","","","","","","",""
"006R01668","OEM Toner","955287","","67.64","","","","","","","","",""
"006R01697","OEM Toner","978154","","54.29","","","","","","","","",""
"006R01698","OEM Toner","978155","","72.31","","","","","","","","",""
"006R01699","OEM Toner","978156","","72.31","","","","","","","","",""
"006R01700","OEM Toner","978157","","72.31","","","","","","","","",""
"006R01734","OEM Toner","1127530","","50.22","","","","","","","","",""
"006R01735","OEM Toner","1127531","","123.54","","","","","","","","",""
"006R01736","OEM Toner","1127532","","123.54","","","","","","","","",""
"006R01737","OEM Toner","1127533","","123.54","","","","","","","","",""
"006R01746","OEM Toner","1161984","","65.40","","","","","","","","",""
"006R01747","OEM Toner","1161985","","90.78","","","","","","","","",""
"006R01748","OEM Toner","1161986","","90.78","","","","","","","","",""
"006R01749","OEM Toner","1161987","","90.78","","","","","","","","",""
